config_hash	signed	cost_fn	indices	weights	lr	optim	restarts	max_iterations	total_variation	bn_stat	image_norm	z_norm	group_lazy	init	lr_decay	dataset	generative_model	gen_dataset	giml	gias	gias_lr	gias_iterations	model	trained	num_exp	num_images	checkpoint_path	accumulation	batch_size	local_lr	number_of_samples	timing	mean	std	max	min	median
4e7681a93915b24687834c74cb88f435	False	sim_cmpr0	top10	equal	0.03	ours	3	7	1e-06	0.0	0.0	0	0.0	randn	True	CIFAR100	stylegan2	I512	False	True	0.001	6	ResNet18	False	1	4		0	4	False	1	0:00:27.088843	9.356285095214844	0.0	9.356285095214844	9.356285095214844	9.356285095214844
4e7681a93915b24687834c74cb88f435	False	sim_cmpr0	top10	equal	0.03	ours	3	7	1e-06	0.0	0.0	0	0.0	randn	True	CIFAR100	stylegan2	I512	False	True	0.001	6	ResNet18	False	1	4		0	4	False	1	0:00:24.614752	9.338899612426758	0.0	9.338899612426758	9.338899612426758	9.338899612426758
4e7681a93915b24687834c74cb88f435	False	sim_cmpr0	top10	equal	0.03	ours	3	7	1e-06	0.0	0.0	0	0.0	randn	True	CIFAR100	stylegan2	I512	False	True	0.001	6	ResNet18	False	1	4		0	4	False	1	0:00:40.171985	9.259626388549805	0.0	9.259626388549805	9.259626388549805	9.259626388549805
